"日期","收盘","开盘","高","低","涨跌幅"
"2025-6-6","4.876","4.881","4.887","4.876","-0.08%"
"2025-6-5","4.880","4.882","4.901","4.832","0.00%"
"2025-6-4","4.880","4.973","4.995","4.869","-2.07%"
"2025-6-3","4.983","4.976","4.997","4.931","0.35%"
"2025-6-2","4.965","4.954","5.003","4.948","0.85%"
"2025-5-30","4.923","4.922","4.951","4.902","-0.01%"
"2025-5-29","4.924","4.986","5.033","4.915","-0.96%"
"2025-5-28","4.972","4.953","5.009","4.940","0.46%"
"2025-5-27","4.949","5.030","5.031","4.931","-1.63%"
"2025-5-26","5.031","5.032","5.032","5.030","0.02%"
"2025-5-23","5.030","5.049","5.057","4.978","-0.19%"
"2025-5-22","5.039","5.108","5.161","5.038","-0.87%"
"2025-5-21","5.084","4.965","5.098","4.959","2.42%"
"2025-5-20","4.963","4.904","4.999","4.890","1.19%"
"2025-5-19","4.905","4.960","5.037","4.902","0.04%"
"2025-5-16","4.903","4.901","4.961","4.851","0.24%"
"2025-5-15","4.891","4.981","5.000","4.887","-1.68%"
"2025-5-14","4.975","4.916","4.980","4.894","1.34%"
"2025-5-13","4.909","4.901","4.953","4.885","0.11%"
"2025-5-12","4.904","4.854","4.912","4.830","1.41%"
"2025-5-9","4.835","4.840","4.874","4.818","-0.21%"
"2025-5-8","4.845","4.782","4.862","4.770","1.57%"
"2025-5-7","4.770","4.815","4.816","4.759","-0.62%"
"2025-5-6","4.800","4.862","4.875","4.798","-0.76%"
"2025-5-5","4.837","4.813","4.939","4.784","1.01%"
"2025-5-2","4.788","4.716","4.803","4.697","1.45%"
"2025-5-1","4.720","4.700","4.745","4.650","0.77%"
"2025-4-30","4.684","4.634","4.721","4.603","0.80%"
"2025-4-29","4.647","4.686","4.721","4.635","-0.73%"
"2025-4-28","4.681","4.701","4.759","4.678","-0.83%"
"2025-4-25","4.720","4.779","4.789","4.703","-1.14%"
"2025-4-24","4.774","4.817","4.820","4.761","-1.06%"
"2025-4-23","4.825","4.821","4.842","4.713","-1.11%"
"2025-4-22","4.880","4.902","4.930","4.849","-0.55%"
"2025-4-21","4.906","4.840","4.923","4.835","2.05%"
"2025-4-17","4.808","4.751","4.829","4.742","1.41%"
"2025-4-16","4.741","4.788","4.808","4.735","-0.93%"
"2025-4-15","4.786","4.801","4.848","4.758","-0.55%"
"2025-4-14","4.812","4.895","4.899","4.790","-1.30%"
"2025-4-11","4.875","4.933","4.991","4.816","0.13%"
"2025-4-10","4.869","4.721","4.878","4.662","2.89%"
"2025-4-9","4.732","4.800","5.023","4.701","-0.59%"
"2025-4-8","4.760","4.630","4.769","4.563","2.78%"
"2025-4-7","4.631","4.332","4.658","4.326","4.87%"
"2025-4-4","4.416","4.483","4.486","4.331","-1.33%"
"2025-4-3","4.476","4.440","4.498","4.431","-0.43%"
"2025-4-2","4.495","4.555","4.582","4.466","-0.50%"
"2025-4-1","4.518","4.579","4.584","4.499","-1.30%"
"2025-3-31","4.577","4.600","4.627","4.562","-1.15%"
"2025-3-28","4.630","4.721","4.722","4.627","-1.90%"
"2025-3-27","4.720","4.692","4.755","4.692","0.38%"
"2025-3-26","4.702","4.672","4.709","4.664","0.87%"
"2025-3-25","4.662","4.662","4.703","4.639","-0.08%"
"2025-3-24","4.666","4.604","4.668","4.602","1.62%"
"2025-3-21","4.591","4.557","4.599","4.529","0.71%"
"2025-3-20","4.559","4.543","4.561","4.490","0.13%"
"2025-3-19","4.553","4.593","4.651","4.551","-0.73%"
"2025-3-18","4.587","4.592","4.642","4.569","-0.09%"
"2025-3-17","4.591","4.598","4.626","4.556","-0.74%"
"2025-3-14","4.625","4.598","4.647","4.594","0.74%"
"2025-3-13","4.591","4.638","4.671","4.580","-0.91%"
"2025-3-12","4.634","4.598","4.642","4.563","0.82%"
"2025-3-11","4.596","4.532","4.613","4.491","1.13%"
"2025-3-10","4.545","4.573","4.597","4.514","-1.22%"
